ID,ImageHeight,ImageWidth
1000_A2_1,2048,2048
1000_A2_2,2048,2048
1000_A5_1,2048,2048
1000_A5_2,2048,2048
1000_A7_1,2048,2048
1000_A7_2,2048,2048
1000_B4_1,2048,2048
1000_B4_3,2048,2048
1000_C11_1,2048,2048
1000_C11_2,2048,2048
1000_C4_5,2048,2048
1000_C4_6,2048,2048
1000_C8_1,2048,2048
1000_C8_2,2048,2048
1000_D4_1,2048,2048
1000_D4_2,2048,2048
1000_D8_1,2048,2048
1000_D8_3,2048,2048
1000_D9_1,2048,2048
1000_D9_2,2048,2048
1000_E11_2,2048,2048
1000_E11_3,2048,2048
1000_E1_1,2048,2048
1000_E1_2,2048,2048
1000_E8_1,2048,2048
1000_E8_2,2048,2048
1000_F11_1,2048,2048
1000_F11_2,2048,2048
1000_F7_1,2048,2048
1000_F7_2,2048,2048
1000_G10_1,2048,2048
1000_G10_2,2048,2048
1000_G4_1,2048,2048
1000_G4_2,2048,2048
1000_G6_1,2048,2048
1000_G6_2,2048,2048
1000_H11_1,2048,2048
1000_H11_2,2048,2048
1000_H2_4,2048,2048
1000_H2_6,2048,2048
1000_H3_1,2048,2048
1000_H3_2,2048,2048
1000_H5_2,2048,2048
1000_H5_3,2048,2048
1000_H6_1,2048,2048
1000_H6_2,2048,2048
1001_A11_2,2048,2048
1001_A11_3,2048,2048
1001_A5_1,2048,2048
1001_A5_2,2048,2048
1001_A7_2,2048,2048
1001_A7_4,2048,2048
1001_A9_1,2048,2048
1001_A9_2,2048,2048
1001_B10_1,2048,2048
1001_B10_2,2048,2048
1001_B8_1,2048,2048
1001_B8_3,2048,2048
1001_C12_2,2048,2048
1001_C12_3,2048,2048
1001_C7_1,2048,2048
1001_C9_1,2048,2048
1001_C9_2,2048,2048
1001_D5_1,2048,2048
1001_D5_3,2048,2048
1001_D8_1,2048,2048
1001_D8_2,2048,2048
1001_E3_2,2048,2048
1001_E3_4,2048,2048
1001_E4_1,2048,2048
1001_E4_2,2048,2048
1001_E8_1,2048,2048
1001_E8_2,2048,2048
1001_E9_1,2048,2048
1001_E9_3,2048,2048
1001_F1_1,2048,2048
1001_F1_2,2048,2048
1001_F7_1,2048,2048
1001_F7_2,2048,2048
1001_G11_1,2048,2048
1001_G11_2,2048,2048
1001_G12_1,2048,2048
1001_G12_2,2048,2048
1001_G1_2,2048,2048
1001_G1_3,2048,2048
1001_G2_1,2048,2048
1001_G2_2,2048,2048
1001_G3_1,2048,2048
1001_G3_2,2048,2048
1001_G7_1,2048,2048
1001_G7_2,2048,2048
1001_G9_1,2048,2048
1001_G9_2,2048,2048
1001_H1_1,2048,2048
1001_H1_2,2048,2048
1001_H8_1,2048,2048
1001_H8_2,2048,2048
1002_A7_1,2048,2048
1002_A7_2,2048,2048
1002_A8_1,2048,2048
1002_A8_2,2048,2048
1002_B12_1,2048,2048
1002_B12_2,2048,2048
1002_B8_1,2048,2048
1002_B8_2,2048,2048
1002_C9_1,2048,2048
1002_C9_2,2048,2048
1002_D8_1,2048,2048
1002_D8_2,2048,2048
1002_E3_1,2048,2048
1002_E3_2,2048,2048
1002_E4_1,2048,2048
1002_E4_2,2048,2048
1002_E6_1,2048,2048
1002_E6_2,2048,2048
1002_E7_1,2048,2048
1002_E7_2,2048,2048
1002_F11_1,2048,2048
1002_F11_2,2048,2048
1002_F6_2,2048,2048
1002_F6_3,2048,2048
1002_F8_1,2048,2048
1002_F8_2,2048,2048
1002_G12_1,2048,2048
1002_G12_2,2048,2048
1002_G1_1,2048,2048
1002_G1_2,2048,2048
1002_G4_1,2048,2048
1002_G4_2,2048,2048
1002_G7_1,2048,2048
1002_G7_2,2048,2048
1002_G9_1,2048,2048
1002_G9_2,2048,2048
1002_H3_1,2048,2048
1002_H3_2,2048,2048
1002_H5_1,2048,2048
1002_H5_2,2048,2048
1002_H6_1,2048,2048
1002_H6_2,2048,2048
1002_H9_1,2048,2048
1002_H9_2,2048,2048
1003_A2_1,2048,2048
1003_A2_2,2048,2048
1003_A5_1,2048,2048
1003_A5_2,2048,2048
1003_A7_1,2048,2048
1003_A7_2,2048,2048
1003_B4_1,2048,2048
1003_B4_2,2048,2048
1003_C11_1,2048,2048
1003_C11_2,2048,2048
1003_C4_1,2048,2048
1003_C4_2,2048,2048
1003_C8_1,2048,2048
1003_C8_2,2048,2048
1003_D4_4,2048,2048
1003_D4_5,2048,2048
1003_D8_1,2048,2048
1003_D8_2,2048,2048
1003_D9_1,2048,2048
1003_D9_2,2048,2048
1003_E11_1,2048,2048
1003_E11_2,2048,2048
1003_E1_1,2048,2048
1003_E1_2,2048,2048
1003_E8_1,2048,2048
1003_E8_2,2048,2048
1003_F11_1,2048,2048
1003_F11_2,2048,2048
1003_F7_1,2048,2048
1003_F7_2,2048,2048
1003_G10_3,2048,2048
1003_G10_4,2048,2048
1003_G4_1,2048,2048
1003_G4_2,2048,2048
1003_G6_1,2048,2048
1003_G6_2,2048,2048
1003_H11_1,2048,2048
1003_H11_2,2048,2048
1003_H2_1,2048,2048
1003_H2_2,2048,2048
1003_H3_1,2048,2048
1003_H3_2,2048,2048
1003_H6_1,2048,2048
1003_H6_2,2048,2048
1004_A12_1,2048,2048
1004_A12_2,2048,2048
1004_A7_2,2048,2048
1004_A7_3,2048,2048
1004_A8_1,2048,2048
1004_A8_2,2048,2048
1004_B12_1,2048,2048
1004_B12_2,2048,2048
1004_B8_1,2048,2048
1004_B8_2,2048,2048
1004_C6_1,2048,2048
1004_C6_2,2048,2048
1004_C9_4,2048,2048
1004_C9_5,2048,2048
1004_D8_2,2048,2048
1004_D8_3,2048,2048
1004_E3_2,2048,2048
1004_E3_3,2048,2048
1004_E4_2,2048,2048
1004_E4_3,2048,2048
1004_E6_1,2048,2048
1004_E6_2,2048,2048
1004_E7_3,2048,2048
1004_E7_6,2048,2048
1004_F11_1,2048,2048
1004_F11_2,2048,2048
1004_F6_2,2048,2048
1004_F6_3,2048,2048
1004_F8_1,2048,2048
1004_F8_2,2048,2048
1004_G12_1,2048,2048
1004_G12_2,2048,2048
1004_G1_2,2048,2048
